time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,374,13,337920,173.73,-0.8668815472615091,0.854580283164978,-0.004204563742969185,0.017149137,2.9309051847457885,635,0.029881730005145074,0.19876723393797874,0.055959977209568024,0.2,0.03884558752179146,0.0003
1,391,13,343040,170.37,-0.8942808267516833,0.9016003608703613,-0.0024280940209898878,0.04216626,2.927030689576093,639,0.02381804705980946,0.19820356938768835,0.05604567006230354,0.2,0.04950520396232605,0.0003
1,384,13,348160,167.65,-0.9404076226069229,0.871802806854248,-0.009824204473989084,0.017165795,2.9206646144390107,649,0.02659994470886886,0.17016825173050165,0.05629687011241913,0.2,0.031630270183086395,0.0003
1,382,13,353280,170.92,-0.859196194887108,0.8954042196273804,-0.010617357911542058,0.016895581,2.9152607822418215,659,0.019360298197716473,0.1679710891097784,0.05634766072034836,0.2,0.03134991601109505,0.0003
1,359,14,358400,172.24,-0.8272135527176154,0.8664049506187439,-0.009336112458549905,0.012647061,2.9153415858745575,669,0.017246501334011555,0.15107455402612685,0.05629701167345047,0.2,0.014184562489390373,0.0003
1,346,14,363520,175.47,-0.8746135809959183,0.9182271361351013,-0.013210770871955902,0.012912872,2.9097844421863557,679,0.020088843652047217,0.15289513021707535,0.05668087303638458,0.2,0.012706246227025986,0.0003
1,328,15,368640,175.41,-0.8712509281736354,0.8544979095458984,-0.011281551560387015,0.014994147,2.9033978939056397,689,0.02927704807370901,0.16768856924027203,0.0566374845802784,0.2,0.018917690962553024,0.0003
1,321,15,373760,173.79,-0.9418490000652298,0.8857741355895996,-0.012758488919353113,0.017317403,2.9065118408203126,699,0.019086976051330567,0.16746726825833322,0.05651954188942909,0.2,0.037300944328308105,0.0003
1,303,16,378880,173.9,-0.9486938745711712,0.8599495887756348,-0.009391470105620102,0.025385901,2.910384564399719,709,0.029209556058049202,0.195053354203701,0.05643860250711441,0.2,0.009912618435919285,0.0003
1,311,16,384000,172.29,-0.9460998598688432,0.9145088195800781,-0.0021212742258622137,0.046984628,2.910835769441393,715,0.023549031362765364,0.21086613999472725,0.05651513859629631,0.2,0.0636177584528923,0.0003
1,335,15,389120,171.62,-0.7695191604903145,0.8933512568473816,-0.01313475491188001,0.014181506,2.9110844910144804,725,0.020120315696112813,0.14074849300086498,0.05630756914615631,0.2,0.011955337598919868,0.0003
1,409,12,394240,176.38,-0.7364353636537204,0.9065921902656555,-0.01004679876496084,0.015753312,2.9148200511932374,735,0.014201710536144673,0.16744658797979356,0.056459710001945496,0.2,0.019640635699033737,0.0003
1,357,14,399360,173.98,-0.6155064666007785,0.9171329736709595,-0.011192540773190558,0.013664378,2.9104979372024538,745,0.015261529255658388,0.1665261860191822,0.056435056030750275,0.2,0.014166431501507759,0.0003
1,330,15,404480,173.03,-0.7073666691830589,0.8238517642021179,-0.011289857468800618,0.011632277,2.9124006414413453,755,0.019273126032203436,0.1412542301416397,0.05643995478749275,0.2,0.008255847729742527,0.0003
1,326,15,409600,175.56,-0.7392946323776357,0.7235690355300903,-0.004971033139154315,0.023218608,2.91163857460022,765,0.03296888887882233,0.21010710708796979,0.05643949657678604,0.2,0.016082916408777237,0.0003
1,309,16,414720,176.72,-0.9097488984222322,0.8926132917404175,-0.010443187435157597,0.012080908,2.9089216887950897,775,0.0184458764269948,0.1805036261677742,0.056601159274578094,0.2,0.012608267366886139,0.0003
1,348,14,419840,177.86,-0.9490196413184104,0.8897919654846191,-0.011776443009148352,0.0129791405,2.9049087285995485,785,0.022118236776441334,0.1577530110254884,0.05663309618830681,0.2,0.017573745921254158,0.0003
1,290,17,424960,180.97,-0.7373379156424007,0.8869259357452393,-0.01188815713103395,0.014163509,2.9054460525512695,795,0.012746322026941925,0.15683802235871552,0.056576795876026154,0.2,0.010349531657993793,0.0003
1,274,18,430080,179.34,-0.7422015323090945,0.8892835378646851,-0.0068301425271783955,0.038241312,2.9081363677978516,802,0.017098684096708894,0.19786267541348934,0.056506164371967316,0.2,0.04927167296409607,0.0003
1,363,14,435200,177.85,-0.7137113004219011,0.9077636003494263,-0.011779360562795773,0.014908636,2.90834125995636,812,0.014103959761559964,0.16875382974743844,0.056584641337394714,0.2,0.010928377509117126,0.0003
1,349,14,440320,176.5,-0.6807006766910582,0.8069067001342773,-0.012355376682244242,0.013507647,2.903543381690979,822,0.020014469139277936,0.1544531248509884,0.05674906447529793,0.2,0.012971214950084686,0.0003
1,372,13,445440,175.68,-0.6900076075615401,0.707980751991272,-0.0028622826654464005,0.01174988,2.895877466201782,832,0.04558232024312019,0.20580957800149918,0.057026609778404236,0.2,0.03154773637652397,0.0003
1,316,16,450560,174.86,-0.7360613042753478,0.8618924021720886,-0.007953461221040925,0.011234218,2.888297426700592,842,0.017738572671078146,0.16235437691211702,0.05713675171136856,0.2,0.015327505767345428,0.0003
1,334,15,455680,175.06,-0.6138396961966982,0.8809219598770142,-0.013160055445041507,0.013833248,2.892968565225601,852,0.017436554632149638,0.14431444685906172,0.05678783357143402,0.2,0.010511624626815319,0.0003
1,284,17,460800,175.7,-0.667116760252669,0.8839635252952576,-0.01489924400812015,0.012696549,2.8923434138298036,862,0.011546353145968169,0.1489365804940462,0.057297803461551666,0.2,0.005019918084144592,0.0003
1,266,19,465920,173.18,-0.6180074759668582,0.7913658022880554,-0.012529165281739552,0.014179816,2.875613921880722,872,0.021313172508962454,0.145666884817183,0.057631272822618484,0.2,0.015662996098399162,0.0003
1,269,18,471040,174.94,-0.6072772371787643,0.836257815361023,-0.010929440573090688,0.013819645,2.869475317001343,882,0.01878214362077415,0.16110299471765757,0.05761954188346863,0.2,0.014796934090554714,0.0003
1,330,15,476160,171.06,-0.6960649455112048,0.7678242921829224,-0.012018670488032512,0.013674034,2.8706563115119934,892,0.018871589144691826,0.13696404080837965,0.057597219944000244,0.2,0.0177638940513134,0.0003
1,336,15,481280,170.54,-0.6640596394717605,0.8484110832214355,-0.013520929015940056,0.013795564,2.8634795427322386,902,0.01871166976168752,0.17183249190449715,0.05808033049106598,0.2,0.006617818493396044,0.0003
