case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.2687636911869049,-0.008875359781086445,-0.45313024520874023,-0.00043966794227640705,0.0,-0.0,-0.0,-0.0,-0.00043966794227640705,0.0,0.0,1,178.2781524658203
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.38849541544914246,-0.26807817816734314,-0.24964401125907898,-0.001005242765575023,0.0,-0.0,-0.0,-0.0,-0.001005242765575023,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.3871602714061737,-0.2566867470741272,-0.1307440847158432,-0.0006350664881717383,0.0,-0.0,-0.0,-0.0,-0.0006350664881717383,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.1800273060798645,-0.17353501915931702,-0.3722025454044342,-0.00048392504778601436,0.0,-0.0,-0.0,-0.0,-0.00048392504778601436,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.6180848479270935,-0.20745258033275604,-0.17697961628437042,-0.0011136703182733432,0.0,-0.0,-0.0,-0.0,-0.0011136703182733432,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.2710285484790802,-0.049528203904628754,-0.22469936311244965,-0.00044439154181917463,0.0,-0.0,-0.0,-0.0,-0.00044439154181917463,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.05117311328649521,-0.4098619818687439,-0.38866013288497925,-7.090781114913979e-05,0.0,-0.0,-0.0,-0.0,-7.090781114913979e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.04171360284090042,-0.03202679753303528,-0.11821583658456802,-6.913755959870757e-05,0.0,-0.0,-0.0,-0.0,-6.913755959870757e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.0946265310049057,-0.08827731013298035,-0.6119838953018188,-0.000407865408143604,0.0,-0.0,-0.0,-0.0,-0.000407865408143604,0.0,0.0,1,173.22543334960938
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,107,535,0,-0.31907570362091064,-0.20353713631629944,-0.1858249008655548,-0.0005307812025870355,0.0,-0.0,-0.0,-0.0,-0.0005307812025870355,0.0,0.0,0,
